BioWare 3.0 Export
Device:	Platform 1 9286AA	Platform 1 9286AA	Platform 1 9286AA	Platform 1 9286AA
Samples (#):	3107	3107	3107	3107
Rate (Hz):	200.000000	200.000000	200.000000	200.000000
Contact period start (sample #):	0	0	0	0
Contact period end (sample #):	3106	3106	3106	3106
Contact period start time (s):	0.000000	0.000000	0.000000	0.000000
Contact period end time (s):	15.530000	15.530000	15.530000	15.530000
First sample time (s):	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	692.799622	692.799622	692.799622	692.799622
Normalized length (m):	1000.000000	1000.000000	1000.000000	1000.000000
abs time (s)	Fx	Fy	Fz	Ft
	N	N	N	N
2.090000	-2.714551	0.818191	569.016739	569.023802
2.095000	-2.675187	0.934556	569.015587	569.022643
2.100000	-2.441688	0.819016	569.017326	569.023154
2.105000	-2.597354	0.934556	568.586342	568.593042
2.110000	-2.286020	1.011582	570.725922	570.731396
2.115000	-1.935918	1.204976	571.067383	571.071935
2.120000	-2.518925	0.818191	569.783333	569.789488
2.125000	-2.636122	0.662487	568.756248	568.762743
2.130000	-2.441389	0.546535	569.355232	569.360729
2.135000	-2.363556	0.507608	569.354370	569.359502
2.140000	-2.051924	0.701000	570.292641	570.296763
2.145000	-1.663054	1.127124	572.689156	572.692679
2.150000	-2.169716	0.314628	568.581497	568.585724
2.155000	-2.557693	0.043796	567.981178	567.986939
2.160000	-1.857787	0.430580	570.122047	570.125237
2.165000	-2.051627	0.274876	570.035263	570.039021
2.170000	-1.895959	0.392067	569.779007	569.782296
2.175000	-2.597354	-0.304888	566.269066	566.275105
2.180000	-1.896256	-0.034057	569.434372	569.437530
2.185000	-2.091883	0.160574	568.408691	568.412563
2.190000	-1.973792	-0.111496	569.005463	569.008897
2.195000	-1.896555	-0.458941	568.065735	568.069086
2.200000	-2.169121	-0.846140	566.952034	566.956815
2.205000	-1.506792	-0.807627	567.553780	567.556354
2.210000	-1.390489	-0.768288	567.381554	567.383778
2.215000	-1.663054	-1.115734	565.241318	565.244865
